Федеральный перечень учебников, рекомендуемых к использованию при реализации имеющих государственную аккредитацию образовательных программ начального общего, основного общего, среднего общего образования;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Порядковый номер учебника;Система;Код 1С;Автор/авторский коллектив;Наименование учебника;Класс;"Автор в 1С издательства ""Просвещение""";"Наименование в 1С издательства ""Просвещение""";Линия УМК;Примечание;Год издания;Цена с НДС, руб. ;Заказ (количество экз);Система;
1. Учебники, рекомендуемые к использованию при реализации обязательной части основной образовательной программы;;;;;;;;;;;;;;
1.1. Начальное общее образование;;;;;;;;;;;;;;
1.1.1. Филология (предметная область);;;;;;;;;;;;;;
1.1.1.1. Русский язык (учебный предмет);;;;;;;;;;;;;;
1.1.1.1.4.1;Школа России;04-0052-11;Горецкий В.Г., Кирюшкин В.А., Виноградская Л.А. и др.;Азбука. В 2-х частях;1;Горецкий В. Г., Кирюшкин В. А., Виноградская Л. А. и др.;Азбука. 1 класс. В 2-х ч. Ч. 1;Горецкий В.Г. (1);с online поддержкой;2017;256,19;;Школа России;
1.1.1.1.4.1;Школа России;04-0053-09;;;1;Горецкий В. Г., Кирюшкин В. А., Виноградская Л. А. и др.;Азбука. 1 класс. В 2-х ч. Ч. 2;Горецкий В.Г. (1);с online поддержкой;2017;256,19;;Школа России;
1.1.1.1.4.2;Школа России;05-0036-16;Канакина В.П., Горецкий В.Г.;Русский язык;1;Канакина В. П., Горецкий В. Г.;Русский язык. 1 класс. ;Канакина В.П. (1-4);с online поддержкой;2017;323,84;;Школа России;
1.1.1.1.4.3;Школа России;05-0029-11;Канакина В.П., Горецкий В.Г.;Русский язык. В 2-х частях;2;Канакина В. П., Горецкий В. Г.;Русский язык. 2 класс. В 2-х ч. Ч. 1;Канакина В.П. (1-4);с online поддержкой;2017;325,49;;Школа России;
1.1.1.1.4.3;Школа России;05-0030-11;;;2;Канакина В. П., Горецкий В. Г.;Русский язык. 2 класс. В 2-х ч. Ч. 2;Канакина В.П. (1-4);с online поддержкой;2017;325,49;;Школа России;
1.1.1.1.4.4;Школа России;05-0040-07;Канакина В.П., Горецкий В.Г.;Русский язык. В 2-х частях;3;Канакина В. П., Горецкий В. Г.;Русский язык. 3 класс. В 2-х ч. Ч. 1;Канакина В.П. (1-4);с online поддержкой;2017;325,49;;Школа России;
1.1.1.1.4.4;Школа России;05-0043-08;;;3;Канакина В. П., Горецкий В. Г.;Русский язык. 3 класс. В 2-х ч. Ч. 2;Канакина В.П. (1-4);с online поддержкой;2017;325,49;;Школа России;
1.1.1.1.4.5;Школа России;05-0045-07;Канакина В.П., Горецкий В.Г.;Русский язык. В 2-х частях;4;Канакина В. П., Горецкий В. Г.;Русский язык. 4 класс. В 2-х ч. Ч. 1;Канакина В.П. (1-4);с online поддержкой;2017;325,49;;Школа России;
1.1.1.1.4.5;Школа России;05-0046-07;;;4;Канакина В. П., Горецкий В. Г.;Русский язык. 4 класс. В 2-х ч. Ч. 2;Канакина В.П. (1-4);с online поддержкой;2017;325,49;;Школа России;
1.1.1.1.6.1;Перспектива;04-0003-06;Климанова Л.Ф., Макеева С.Г.;Азбука. В 2-х частях;1;Климанова Л.Ф., Макеева С. Г.;Азбука. 1 класс. В 2-х ч. Ч. 1.;Климанова Л.Ф. Обучение грамоте (1);с online поддержкой;2017;256,19;;Перспектива;
1.1.1.1.6.1;Перспектива;04-0004-06;;;1;Климанова Л. Ф., Макеева С. Г.;Азбука. 1 класс. В 2-х ч. Ч. 2.;Климанова Л.Ф. Обучение грамоте (1);с online поддержкой;2017;256,19;;Перспектива;
1.1.1.1.6.2;Перспектива;05-0127-06;Климанова Л.Ф., Макеева С.Г.;Русский язык;1;Климанова Л.Ф., Макеева С. Г.;Русский язык. 1 класс. ;Климанова Л.Ф. Русский язык (1-4);с online поддержкой;2017;323,84;;Перспектива;
1.1.1.1.6.3;Перспектива;05-0077-07;Климанова Л.Ф., Бабушкина Т.В.;Русский язык. В 2-х частях;2;Климанова Л.Ф., Бабушкина Т. В.;Русский язык. 2 класс. В 2-х ч. Ч. 1;Климанова Л.Ф. Русский язык (1-4);с online поддержкой;2017;325,49;;Перспектива;
